id,name,street,city,state,zip,country,phone,fax_phone,contact,manufacturer,vendor,customer,parent,notes,stock_symbol,stock_price,primary,banner_image,banner_text,latitude,longitude,lat_long_error,vendor_type,fiscal_year,num_employees,publicly_traded,website,discount,rank_tier,vendor_manager,sys_class_name,sys_id,sys_updated_by,sys_updated_on,sys_created_by,sys_created_on,sys_mod_count,profits,market_cap,revenue_per_year,theme,banner_image_light,apple_icon,coordinates_retrieved_on
11,Learn2.Com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43be53c611227500002515cd19ed7d,admin,2013-06-05 18:27:36,guest,2005-05-24 01:14:23,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
12,Insight Development,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43be72c611227500002515a69ea73c,admin,2012-10-14 11:59:41,guest,2005-05-24 01:14:23,1,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
13,Novell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43bf0fc611227500002515586fd903,admin,2013-06-05 20:42:17,guest,2005-05-24 01:14:23,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
14,Zero G,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c047c6112275000025158ee27ebb,admin,2013-06-05 22:11:31,guest,2005-05-24 01:14:23,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
15,Lucasarts Entertainment,500 South Buena Vista Street,Burbank,CA,91521,NULL,(818) 560-1000,(818) 560-1000,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,34.1544790,-118.3263920,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,10,0,www.lucasarts.com,NULL,NULL,NULL,core_company,0c43c066c61122750000251569ca4333,admin,2013-05-09 18:33:27,guest,2005-05-24 01:14:23,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
16,Analog Devices,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c086c6112275000025151bc6f8af,admin,2013-06-05 16:26:02,guest,2005-05-24 01:14:23,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
17,Borland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c0b4c6112275000025158b700c08,admin,2013-06-05 16:51:40,guest,2005-05-24 01:14:23,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
18,Rational Software,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c131c611227500002515167d093b,admin,2013-06-05 21:10:46,guest,2005-05-24 01:14:23,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
19,MicroCom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c19fc61122750000251562d620f2,admin,2013-06-05 18:35:08,guest,2005-05-24 01:14:24,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
20,Jordan Russell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c1aec611227500002515021bcede,admin,2013-06-05 18:16:28,guest,2005-05-24 01:14:24,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
21,Telemar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c20cc611227500002515027d40f6,admin,2013-06-05 21:33:30,guest,2005-05-24 01:14:24,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
22,AT&T,208 South Akard Street,Dallas,TX,75202,U.S,(214) 741-6655,(214) 741-6655,NULL,1,1,0,NULL,NULL,T,37.34,0,NULL,Rethink Possible,32.7797730,-96.7997560,NULL,"569d6263df300100cd7da5f59bf2632c,8a8d53de37400100fceabfc8bcbe5d1e",NULL,243340,1,NULL,NULL,valued,NULL,core_company,0c43c22bc611227500002515e25bf079,admin,2013-05-09 20:39:51,guest,2005-05-24 01:14:24,7,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
23,Avantgo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c27ac611227500002515a353487a,admin,2013-06-05 16:42:51,guest,2005-05-24 01:14:24,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
24,Transcend,225 Emerson Street,Palo Alto,CA,94301,USA,(650) 324-5370,(650) 324-5370,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,37.4469490,-122.1659470,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,33,0,www.transend.com,NULL,NULL,NULL,core_company,0c43c2a8c611227500002515cc92300f,admin,2013-05-09 17:20:47,guest,2005-05-24 01:14:24,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
25,Puma,Keilalahdentie 2-4,Espoo,NULL,02150,NULL,358 7180 08000,358 7180 08000,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,8a8d53de37400100fceabfc8bcbe5d1e,NULL,40,0,www.pumatech.com,NULL,NULL,NULL,core_company,0c43c41fc611227500002515a4642b4d,admin,2013-05-09 18:12:27,guest,2005-05-24 01:14:24,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
26,RealNetworks,"2601 Elliott Avenue, Suite 100",Seattle,WA,98121,NULL,(206) 674-2700,(206) 674-2700,NULL,1,1,0,NULL,NULL,RNWK,7.35,0,NULL,NULL,47.6140200,-122.3514380,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,991,1,www.realnetworks.com,NULL,NULL,NULL,core_company,0c43c529c611227500002515e8090259,admin,2013-05-09 18:10:51,guest,2005-05-24 01:14:24,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
27,ConeXware,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c548c611227500002515b7eb9793,admin,2013-06-05 17:11:35,guest,2005-05-24 01:14:24,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
28,SpyBot,"Watson & Johnson Centre, Mill Road, Greystones","Co Wicklow, Ireland",NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,"8a8d53de37400100fceabfc8bcbe5d1e,569d6263df300100cd7da5f59bf2632c",NULL,10,0,www.safer-networking.org,NULL,NULL,NULL,core_company,0c43c5c5c611227500002515746d9b16,admin,2013-05-09 17:38:27,guest,2005-05-24 01:14:25,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
29,Visioneer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c5e5c6112275000025159e57d14d,admin,2013-06-05 21:52:04,guest,2005-05-24 01:14:25,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
30,Adaptec,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c652c611227500002515727b9759,admin,2013-06-05 16:01:41,guest,2005-05-24 01:14:25,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
31,Citrix Systems,"851 West Cypress Creek Road
",Fort Lauderdale,FL,33309,U.S,(954) 267-3000,(954) 267-3101,NULL,1,1,0,NULL,NULL,CTXS,64.0,0,NULL,NULL,26.2031640,-80.1555090,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,8212,1,NULL,NULL,NULL,NULL,core_company,0c43c690c61122750000251541ca1793,admin,2013-05-09 20:45:39,guest,2005-05-24 01:14:25,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
32,Kodak,343 State Street,Rochester,NY,14650,USA,(585) 724-4000,(585) 724-4000,NULL,1,1,0,NULL,NULL,EKDKQ,0.16,0,NULL,NULL,43.1610520,-77.6191820,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,13000,1,www.kodak.com,NULL,strategic,NULL,core_company,0c43c75cc6112275000025158c230ef2,admin,2013-05-09 18:57:27,guest,2005-05-24 01:14:25,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
33,Qualitas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c7d9c611227500002515ee8a9a09,admin,2013-06-05 21:06:21,guest,2005-05-24 01:14:25,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
34,Symantec,350 Ellis Street,Mountain View,CA,NULL,USA,(650) 527-8000,(650) 527-8000,NULL,1,1,0,NULL,NULL,SYMC,24.87,0,NULL,NULL,37.3970530,-122.0537670,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,20500,0,www.symantec.com,NULL,strategic,NULL,core_company,0c43c817c61122750000251522e201b4,admin,2013-05-09 17:33:44,guest,2005-05-24 01:14:25,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
35,Powerquest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c8d3c6112275000025152f78627a,admin,2013-06-05 21:01:25,guest,2005-05-24 01:14:25,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
36,Raosoft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43c911c611227500002515b2ea00ea,admin,2013-06-05 21:08:34,guest,2005-05-24 01:14:25,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
37,MyFamily com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43cb24c611227500002515f20bcf4c,admin,2013-06-05 18:56:13,guest,2005-05-24 01:14:26,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
38,Seagate,38/39 Fitzwilliam Square,"Dublin, 2, Ireland",NULL,NULL,NULL,353 1 234 3136,353 1 234 3136,NULL,1,1,0,NULL,NULL,STX,42.21,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,"1c8d13de37400100fceabfc8bcbe5dfc,8a8d53de37400100fceabfc8bcbe5d1e",NULL,57900,0,www.seagate.com,NULL,valued,NULL,core_company,0c43cb44c611227500002515bad22359,admin,2013-05-09 17:46:48,guest,2005-05-24 01:14:26,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
39,Design Science,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43cb72c611227500002515201a81ce,admin,2013-06-05 17:19:22,guest,2005-05-24 01:14:26,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
40,eFax.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43cc3ec611227500002515f09190af,admin,2013-06-05 17:30:46,guest,2005-05-24 01:14:26,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
41,Ahead,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43cd95c6112275000025150e50db09,admin,2013-06-05 16:15:12,guest,2005-05-24 01:14:27,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
42,AWS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43cf5ac61122750000251597380069,admin,2013-06-05 16:46:39,guest,2005-05-24 01:14:27,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
43,LavaSoft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43d026c6112275000025150f91d524,admin,2013-06-05 18:25:15,guest,2005-05-24 01:14:27,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
44,America Online,770 Broadway,"New York, NY 10003",NY,10003,U.S,(800) 827-6364,(212) 206-4400,NULL,1,1,0,NULL,NULL,AOL,40.79,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,"8a8d53de37400100fceabfc8bcbe5d1e,78ad6263df300100cd7da5f59bf26334",NULL,5600,1,http://www.corp.aol.com,NULL,NULL,NULL,core_company,0c43d035c61122750000251553f6f8e8,admin,2013-05-08 17:54:37,guest,2005-05-24 01:14:27,8,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
45,SmileStone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43d13fc611227500002515eeb311be,admin,2013-06-05 21:32:01,guest,2005-05-24 01:14:28,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
46,Motive Communications,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43d20ac6112275000025156a0edfc6,admin,2013-06-05 18:53:08,guest,2005-05-24 01:14:28,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
47,Visio,One Microsoft Way,Redmond,WA,98052-6399,USA,(425) 882-8080,(425) 882-8080,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,8a8d53de37400100fceabfc8bcbe5d1e,NULL,230,0,www.vizio.com,NULL,valued,NULL,core_company,0c43d3eec6112275000025153463ee91,admin,2013-05-09 17:12:23,guest,2005-05-24 01:14:28,7,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
48,Winzip Computing,11 Proffessional Park Rd,Storrs Mansfield,CT,06268-1659,USA,NULL,NULL,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2: couldn't find this address! sorry,8a8d53de37400100fceabfc8bcbe5d1e,NULL,20,0,NULL,NULL,NULL,NULL,core_company,0c43d4e8c611227500002515db73823f,admin,2013-05-08 20:51:27,guest,2005-05-24 01:14:28,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
49,Oracle,500 Oracle Parkway,"Redwood City, CA 94065",NULL,NULL,NULL,(650) 506-7000,(650) 506-7000,NULL,1,1,0,NULL,NULL,ORCL,33.4,0,NULL,NULL,37.5295260,-122.2639690,NULL,"8a8d53de37400100fceabfc8bcbe5d1e,78ad6263df300100cd7da5f59bf26334",NULL,118119,1,www.oracle.com,NULL,valued,NULL,core_company,0c43d5e2c6112275000025158d32ba9b,admin,2013-05-09 18:17:56,guest,2005-05-24 01:14:29,6,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
50,Executive Software,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43d6dcc611227500002515cc3210ae,admin,2013-06-05 17:47:57,guest,2005-05-24 01:14:29,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
51,Winternals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43da09c6112275000025157188c7ab,admin,2013-06-05 22:03:26,guest,2005-05-24 01:14:30,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
52,Pinnacle Systems,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43e0cfc611227500002515a72ac716,admin,2013-06-05 21:01:11,guest,2005-05-24 01:14:32,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
53,TechSmith,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43e0dfc611227500002515ab5663ba,admin,2013-06-05 21:29:29,guest,2005-05-24 01:14:32,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
54,PC-Doctor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43e3fcc611227500002515e20b6bb2,admin,2013-06-05 20:54:47,guest,2005-05-24 01:14:32,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
55,Panicware,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43e41bc611227500002515062a7d03,admin,2013-06-05 20:44:56,guest,2005-05-24 01:14:32,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
56,Agere,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43e4d6c6112275000025151b1f7379,admin,2013-06-05 16:04:53,guest,2005-05-24 01:14:33,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
57,InterVideo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43e544c611227500002515e5bb3b99,admin,2013-06-05 18:05:35,guest,2005-05-24 01:14:33,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
58,Disney,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,8a8d53de37400100fceabfc8bcbe5d1e,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43eb8dc6112275000025156915cacf,admin,2013-06-05 17:24:11,guest,2005-05-24 01:14:34,4,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
59,eHelp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43ef66c6112275000025153d08a0f6,admin,2013-06-05 17:38:39,guest,2005-05-24 01:14:35,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
60,Freedom Scientific,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43f011c611227500002515a620edc1,admin,2013-06-05 17:51:27,guest,2005-05-24 01:14:35,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
61,Jasc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,core_company,0c43f14ac6112275000025154808313d,admin,2013-06-05 18:21:03,guest,2005-05-24 01:14:36,2,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL
