"name","contact","phone","city","latitude","longitude","sys_updated_on"
"2-10-1 Yurakucho, Chiyoda-ku, Tokyo","","","Tokyo","35.674989","139.764365","2012-02-20 00:09:00"
"2-12-1 Ookayama, Meguro-ku, Tokyo","","","Tokyo","35.605833","139.683529","2012-02-20 00:10:11"
"200 South James street,Atlanta, GA","","","Atlanta","","","2018-08-30 13:22:38"
"2001 Central Circle, McKinney,TX","","","Mckinney","33.219815","-96.63174","2015-02-18 13:41:55"
"206 East 1st Street, Lowell,NC","","","Gastonia","35.265243","-81.099899","2015-02-18 13:40:55"
"2091 Northeast 36th Street, Lighthouse Point,FL","","","Pompano Beach","26.275867","-80.095161","2015-02-18 13:40:55"
"2150 Comstock Street, San Diego,CA","","","San Diego","32.782302","-117.170992","2015-02-18 13:41:55"
"2200 Powell Street, San Francisco,CA","","","San Francisco","37.805157","-122.411594","2015-02-18 13:40:55"
"2217 Matthews Township Parkway, Matthews,NC","","","Matthews","35.129205","-80.703065","2015-02-18 13:40:55"
"231 Main Avenue Place Southwest, Hickory,NC","","","Hickory","35.731082","-81.340922","2015-02-18 13:41:54"
"2351 Bellingham Drive, Troy,MI","","","Troy","42.556917","-83.115117","2015-02-18 13:40:55"
"2360 Reo Drive, San Diego,CA","","","San Diego","32.675371","-117.064873","2015-02-18 13:41:55"
"2400 Riverstone Boulevard, Canton,GA","","","Canton","34.255969","-84.473939","2015-02-18 13:40:55"
"2414, Fort Lauderdale,FL","","","Fort Lauderdale","26.136718","-80.113061","2015-02-18 13:40:55"
"243 South Escondido Boulevard, Escondido,CA","","","Escondido","33.11876","-117.083405","2015-02-18 13:41:55"
"248 Abbotsford Road, Brisbane","","","Brisbane","-27.43535","153.041469","2012-02-19 23:45:51"
"25 New Chardon Street, Boston,MA","","","Boston","42.362116","-71.061753","2015-02-18 13:40:55"
"2500 West Daming Road, Shanghai","","","Shanghai","31.2440415","121.4904273","2012-02-18 01:42:17"
"254 Daniel Webster Highway #4, Nashua,NH","","","Nashua","42.708567","-71.440456","2015-02-18 13:41:54"
"2600 Camino Del Rio North, San Diego,CA","","","San Diego","32.772929","-117.135982","2015-02-18 13:41:55"
"2601 South Lemay Avenue #42, Fort Collins,CO","","","Fort Collins","40.551768","-105.059914","2015-02-18 13:40:55"
"261 North Highway 101, Solana Beach,CA","","(619) 795-5012","San Diego","32.994402","-117.272434","2015-02-18 13:41:55"
"2617 South Robinson Avenue, Oklahoma City,OK","","","Oklahoma","35.438666","-97.516604","2015-02-18 13:40:54"
"2641 East Uintah Street, Colorado Springs,CO","","","Colorado Springs","38.84872","-104.778775","2015-02-18 13:40:55"
"27, Boulevard Vitton, Paris","","","Paris","48.9140708","2.2859022","2012-02-18 01:42:56"
"2714 North University Drive, Sunrise,FL","","","Sunrise","26.158831","-80.256778","2015-02-18 13:40:55"
"2777 Logan Avenue, San Diego,CA","","","San Diego","32.696727","-117.134012","2015-02-18 13:41:55"
"281 East Colorado Boulevard, Pasadena,CA","","","Pasadena","34.146268","-118.144596","2015-02-18 13:40:55"
"285 Snow Drive, Birmingham,AL","","","Homewood","33.445341","-86.837274","2015-02-18 13:40:54"
"2916 Cypress Street #2, West Monroe,LA","","","West Monroe","32.518426","-92.149158","2015-02-18 13:40:55"
"2960 Fern Avenue, San Diego,CA","","","San Diego","32.5743","-117.069387","2015-02-18 13:41:55"
"2997 Cobb Parkway Southeast #300, Atlanta,GA","","","Atlanta","33.881088","-84.458214","2015-02-18 13:40:55"
"3 Whitehall Court, London","","","London","51.5058657","-0.1244007","2012-02-19 23:14:09"
"30 Katharinenstr, Hamburg","","","Hamburg","53.54554","9.99254","2012-02-20 00:00:28"
"300 Bristol Pike, Croydon,PA","","","Bensalem","40.093224","-74.911428","2015-02-18 13:41:55"
"300 Long Beach Boulevard, Long Beach,CA","","","Long Beach","33.770716","-118.188858","2015-02-18 13:40:55"
"3000 Windy Hill Road Southeast #252, Marietta,GA","","","Atlanta","33.904418","-84.466518","2015-02-18 13:40:55"
"301 Congress Parkway, Crystal Lake,IL","","","Crystal Lake","42.229721","-88.309194","2015-02-18 13:40:55"
"301 Northcreek Boulevard, Goodlettsville,TN","","","Goodlettsville","36.322222","-86.698694","2015-02-18 13:41:55"
"302 Washington Street, San Diego,CA","","","San Diego","32.750283","-117.162623","2015-02-18 13:41:55"
"303 East Court Avenue, Jeffersonville,IN","","","Jeffersonville","38.276129","-85.73998","2015-02-18 13:40:55"
"303 West 80th Place, Merrillville,IN","","","Merrillville","41.472701","-87.339152","2015-02-18 13:40:55"
"3121 High Point Road, Greensboro,NC","","","Greensboro","36.041159","-79.840371","2015-02-18 13:40:55"
"3131 Crums Lane, Louisville,KY","","","Shively","38.198768","-85.834269","2015-02-18 13:40:55"
"314 Lennon Drive, Wilmington,NC","","","Wilmington","34.250064","-77.875863","2015-02-18 13:40:55"
"3191 Grand Avenue, Coconut Grove,FL","","","Coconut Grove","25.728243","-80.245145","2015-02-18 13:40:55"
"320 Charles Street, Lewisville,TX","","","Lewisville","33.044025","-96.996275","2015-02-18 13:41:55"
"322 West 52nd Street, New York,NY","","","New York","40.763829","-73.98647","2015-02-18 13:41:55"
"324 South State Street, Salt Lake City,UT","","801-538-3000","Salt Lake City","40.762393","-111.888652","2015-02-18 13:38:12"
"3244 Greyling Drive, San Diego,CA","","","San Diego","32.801733","-117.13957","2015-02-18 13:41:55"
"325 Strawberry Field Road, Warwick,RI","","","Warwick","41.711832","-71.426561","2015-02-18 13:41:55"
"3260 Jay Street, Santa Clara, CA","","","Santa Clara","37.3801372","-121.9628848","2013-12-11 06:55:33"
"3288 Adams Avenue, San Diego,CA","","","San Diego","32.763623","-117.123052","2015-02-18 13:41:55"
"3298 Governor Drive, San Diego,CA","","","San Diego","32.851191","-117.214428","2015-02-18 13:41:55"
"3299 Bel Air Mall, Mobile,AL","","","Mobile","30.672163","-88.121967","2015-02-18 13:40:54"
"33 East Midland Avenue, Paramus,NJ","","","Paramus","40.94929","-74.069392","2015-02-18 13:41:55"
"3419 Via Lido, Newport Beach,CA","","","Newport Beach","33.617923","-117.928911","2015-02-18 13:40:55"
"3426 College Avenue, San Diego,CA","","","San Diego","32.74199","-117.056227","2015-02-18 13:41:55"
"3501 Gus Thomasson Road #35, Mesquite,TX","","","Mesquite","32.812565","-96.635794","2015-02-18 13:41:55"
"3503 South 56th Street, Tacoma,WA","","","Tacoma","47.206385","-122.482814","2015-02-18 13:41:55"
"3525 Del Mar Heights Road, San Diego,CA","","","San Diego","32.953567","-117.230455","2015-02-18 13:41:55"
"3577 North Belt Line Road, Irving,TX","","","Irving","32.854012","-96.992399","2015-02-18 13:41:55"
"3628 Satellite Boulevard Northwest, Duluth,GA","","","Duluth","33.957277","-84.135629","2015-02-18 13:40:55"
"3715 196th Street Southwest # 101, Lynnwood,WA","","","Lynnwood","47.823272","-122.283588","2015-02-18 13:41:55"
"37155 Harper Avenue, Charter Township of Clinton,MI","","","Roseville","42.570674","-82.873985","2015-02-18 13:40:55"
"3717 Eastway Drive, Charlotte,NC","","","Charlotte","35.203694","-80.78422","2015-02-18 13:40:55"
"3740 Greenbriar Street, Houston,TX","","","Houston","29.732686","-95.413825","2015-02-18 13:41:55"
"3741 Ross Clark Circle, Dothan,AL","","","Dothan","31.253365","-85.416175","2015-02-18 13:40:54"
"388 Bullsboro Drive, Newnan,GA","","","Newnan","33.396123","-84.763471","2015-02-18 13:40:55"
"3911 Cleveland Avenue, San Diego,CA","","","San Diego","32.749386","-117.150514","2015-02-18 13:41:55"
"395 Federal Street, Pittsburgh,PA","","","Pittsburgh","40.449949","-80.005212","2015-02-18 13:41:55"
"400 North Ervay Street, Dallas,TX","","","Dallas","32.783798","-96.798237","2015-02-18 13:41:55"
"400 Northwest 7th Avenue, Fort Lauderdale,FL","","","Fort Lauderdale","26.126297","-80.150355","2015-02-18 13:40:55"
"400 Pryor Street Southwest, Atlanta,GA","","","Atlanta","33.743938","-84.393971","2015-02-18 13:40:54"
"4000 Atlantic Avenue, Raleigh,NC","","919-733-4624","Raleigh","35.838474","-78.600747","2015-02-18 13:40:55"
"4040 Erie Street, Willoughby,OH","","","Mentor","41.64198","-81.407193","2015-02-18 13:41:55"
"4070 Surface Navy Blvd #1, San Diego,CA","","","San Diego","32.681061","-117.122391","2015-02-18 13:41:55"
"41 Marietta Street Northwest, Atlanta,GA","","","Atlanta","33.755445","-84.390738","2015-02-18 13:40:55"
"4110 Bluebonnet Drive, Stafford,TX","","","Stafford","29.636276","-95.573477","2015-02-18 13:41:55"
"4112 Nolensville Pike, Nashville,TN","","","Nashville","36.078802","-86.725004","2015-02-18 13:41:55"
"4193 University Avenue, San Diego,CA","","","San Diego","32.749339","-117.104866","2015-02-18 13:41:55"
"420 Churchwell Drive, Panama City Beach,FL","","","Panama City Beach","30.183598","-85.809734","2015-02-18 13:40:55"
"420 Columbia Street, Newport,KY","","","Newport","39.091","-84.497675","2015-02-18 13:40:55"
"430 Minuet Lane, Charlotte,NC","","","Charlotte","35.168961","-80.879967","2015-02-18 13:41:54"
"4401 Little Road #550, Arlington,TX","","","Arlington","32.676426","-97.196677","2015-02-18 13:41:55"
"4492 Camino De La Plaza, San Ysidro,CA","","","San Diego","32.544864","-117.041523","2015-02-18 13:41:55"
"4492 Camino De La Plaza, San Ysidro,CA","","","San Ysidro","32.544864","-117.041523","2015-02-18 13:41:55"
"450 Lexington Avenue, New York,NY","","","New York","40.753273","-73.974962","2015-02-18 13:41:55"
"450 West 14th Avenue, Denver,CO","","","Denver","39.738231","-104.993556","2015-02-18 13:41:55"
"4640 Cass Street, San Diego,CA","","","San Diego","32.798917","-117.252783","2015-02-18 13:40:55"
"4640 Cass Street, San Diego,CA","","","San Diego","32.798917","-117.252783","2015-02-18 13:41:55"
"4740 Mission Gorge Place, San Diego,CA","","","San Diego","32.781962","-117.090704","2015-02-18 13:41:55"
"4800 Converse Avenue, Cheyenne,WY","","","Cheyenne","41.162834","-104.787314","2015-02-18 13:41:55"
"4833 Santa Monica Avenue, San Diego,CA","","","San Diego","32.745799","-117.247633","2015-02-18 13:41:55"
"4833 Santa Monica Avenue, San Diego,CA","","","San Diego","32.745799","-117.247633","2015-02-18 13:41:55"
"4862 39th Street, San Diego,CA","","","San Diego","32.766156","-117.111564","2015-02-18 13:41:55"
"5052 Clairemont Drive, San Diego,CA","","","San Diego","32.833757","-117.202292","2015-02-18 13:41:55"
"5200 West Oklahoma Avenue, Milwaukee,WI","","","Milwaukee","42.988904","-87.979299","2015-02-18 13:41:55"
"5220 Jimmy Lee Smith Parkway, Hiram,GA","","","Hiram","33.885447","-84.741531","2015-02-18 13:40:55"
"5310 1st Avenue North, Birmingham,AL","","","Birmingham","33.538421","-86.75602","2015-02-18 13:40:54"
"5358 Wedgmont Circle North, Fort Worth,TX","","","Fort Worth","32.668922","-97.385308","2015-02-18 13:41:55"
"540 North Dearborn Street, Chicago,IL","","","Chicago","41.891974","-87.630093","2015-02-18 13:40:55"
"5495 Jimmy Carter Boulevard, Norcross,GA","","","Norcross","33.908947","-84.204908","2015-02-18 13:40:55"
"5505 Stevens Way, San Diego,CA","","","San Diego","32.708986","-117.077007","2015-02-18 13:41:55"
"5519 Clairemont Mesa Blvd, San Diego,CA","","","San Diego","32.833404","-117.17349","2015-02-18 13:41:55"
"5740 West Little York Road, Houston,TX","","","Houston","29.86377","-95.474989","2015-02-18 13:41:55"
"5868 East 71st Street, Indianapolis,IN","","","Indianapolis","39.884396","-86.067401","2015-02-18 13:40:55"
"601 College Street, Clarksville,TN","","","Clarksville","36.533207","-87.353863","2015-02-18 13:41:55"
"6030 Santo Road, San Diego,CA","","","San Diego","32.840439","-117.098029","2015-02-18 13:41:55"
"6055 Lake Murray Boulevard, La Mesa,CA","","","San Diego","32.788819","-117.021608","2015-02-18 13:41:55"
"615 North Bush Street, Santa Ana,CA","","","Santa Ana","33.750206","-117.86622","2015-02-18 13:41:55"
"620 Allendale Road #125, King of Prussia,PA","","","King Of Prussia","40.10017","-75.395513","2015-02-18 13:41:55"
"621 6th Avenue South, North Myrtle Beach,SC","","","North Myrtle Beach","33.822765","-78.683841","2015-02-18 13:41:55"
"6300 North Northwest Highway, Chicago,IL","","","Chicago","41.995656","-87.805094","2015-02-18 13:40:55"
"6304 Northwest Barry Road, Kansas City,MO","","","Kansas City","39.249091","-94.652862","2015-02-18 13:40:55"
"640 North Clematis Street, West Palm Beach,FL","","","West Palm Beach","26.713193","-80.05844","2015-02-18 13:40:55"
"6401 El Cajon Boulevard, San Diego,CA","","","San Diego","32.764082","-117.06016","2015-02-18 13:41:55"
"6401 Gateway Drive, Indianapolis,IN","","","Indianapolis","39.827851","-86.273077","2015-02-18 13:40:55"
"650 Dennery Road #102, San Diego,CA","","","San Diego","32.582376","-117.034507","2015-02-18 13:41:55"
"654 Bellamy Avenue, Murrells Inlet,SC","","","Murrells Inlet","33.55639","-79.042747","2015-02-18 13:41:55"
"6555 North Powerline Road #410, Fort Lauderdale,FL","","","Fort Lauderdale","26.207448","-80.156399","2015-02-18 13:40:55"
"670 Northland Boulevard, Cincinnati,OH","","","Cincinnati","39.281559","-84.499651","2015-02-18 13:41:55"
"6710 Stirling Road, Hollywood,FL","","","Fort Lauderdale","26.04617","-80.223148","2015-02-18 13:40:55"
"675 Lakeview Parkway, Vernon Hills,IL","","","Vernon Hills","42.237578","-87.955458","2015-02-18 13:40:55"
"6801 Hollywood Boulevard, Los Angeles,CA","","","Hollywood","34.102532","-118.339383","2015-02-18 13:40:54"
"6882 Linda Vista Road, San Diego,CA","","","San Diego","32.782863","-117.172306","2015-02-18 13:41:55"
"7007 Metropolitan Parkway, Sterling Heights,MI","","","Sterling Heights","42.56644","-83.038421","2015-02-18 13:40:55"
"711 East Ball Road #100, Anaheim,CA","","","Anaheim","33.819032","-117.9012","2015-02-18 13:40:55"
"7147 Jonesboro Road, Morrow,GA","","","Jonesboro","33.560962","-84.346013","2015-02-18 13:40:55"
"720 Silver Street, La Jolla,CA","","","La Jolla","32.841559","-117.276087","2015-02-18 13:41:55"
"7421 Douglas Boulevard, Douglasville,GA","","","Douglasville","33.724239","-84.766855","2015-02-18 13:40:55"
"75-85 York Street, Melbourne","","","Melbourne","-37.830713","144.960271","2012-02-19 23:47:13"
"751-813 County Road 175, Round Rock,TX","","","Round Rock","30.516814","-97.690254","2015-02-18 13:41:55"
"7525 Paragon Road, Washington,OH","","","Dayton","39.635368","-84.175715","2015-02-18 13:41:55"
"7550 22nd Avenue South, Minneapolis,MN","","","Bloomington","44.86561","-93.240406","2015-02-18 13:40:55"
"757 East Lewis and Clark Parkway #814, Clarksville,IN","","","Clarksville","38.313903","-85.765816","2015-02-18 13:40:55"
"7820 Academy Boulevard North, Colorado Springs,CO","","","Colorado Springs","38.946479","-104.802231","2015-02-18 13:40:55"
"7972 Pines Boulevard, Pembroke Pines,FL","","","Pembroke Pines","26.008524","-80.246733","2015-02-18 13:40:55"
"800 K Street Northwest, Washington,DC","","","Washington","38.901678","-77.022649","2015-02-18 13:40:55"
"8010 Conser, Shawnee Mission,KS","","","Shawnee Mission","38.983677","-94.674005","2015-02-18 13:40:55"
"808 Glen Eagles Court #1, Baltimore,MD","","","Towson","39.401911","-76.574901","2015-02-18 13:40:55"
"808 N Route 59, Aurora,IL","","","Aurora","41.767765","-88.207878","2015-02-18 13:40:55"
"815 E Street, San Diego,CA","","","San Diego","32.71426","-117.156953","2015-02-18 13:41:55"
"815 E Street, San Diego,CA","","","San Diego","32.714258","-117.156955","2015-02-18 13:41:55"
"820 67th Avenue North, Myrtle Beach,SC","","","Myrtle Beach","33.745137","-78.832186","2015-02-18 13:41:55"
"823 Congress Avenue #150, Austin,TX","","","Austin","30.270578","-97.741593","2015-02-18 13:41:55"
"8306 Mills Drive, Miami,FL","","","Miami","25.69043","-80.388097","2015-02-18 13:40:55"
"850 West 112th Avenue, Northglenn,CO","","","Westminster","39.899378","-104.997981","2015-02-18 13:40:55"
"8650 Genesee Avenue Suite 214, San Diego,CA","","","San Diego","32.868594","-117.214795","2015-02-18 13:41:55"
"8723 Bedford Euless Road, Hurst,TX","","","Fort Worth","32.83457","-97.195526","2015-02-18 13:41:55"
"8810 Jamacha Boulevard, Spring Valley,CA","","","San Diego","32.707397","-117.0083","2015-02-18 13:41:55"
"9051 Mira Mesa Boulevard, San Diego,CA","","","San Diego","32.916001","-117.128957","2015-02-18 13:41:55"
"9051 Mira Mesa Boulevard, San Diego,CA","","","San Diego","32.916001","-117.128957","2015-02-18 13:41:55"
"918 Joe Frank Harris Parkway Southeast, Cartersville,GA","","","Cartersville","34.198581","-84.790365","2015-02-18 13:40:55"
"9201 University City Boulevard, Charlotte,NC","","","Charlotte","35.306828","-80.730886","2015-02-18 13:41:55"
"9201 Warren Parkway #200, Frisco,TX","","","Frisco","33.108618","-96.803514","2015-02-18 13:41:55"
"9245 Twin Trails Drive, San Diego,CA","","","San Diego","32.955437","-117.128841","2015-02-18 13:41:55"
"9249 Cicero Avenue, Oak Lawn,IL","","","Oak Lawn","41.724714","-87.739944","2015-02-18 13:40:55"
"945 South Birch Street, Glendale,CO","","","Denver","39.69884","-104.936997","2015-02-18 13:40:55"
"946 Donax Avenue, Imperial Beach,CA","","","San Diego","32.582634","-117.113495","2015-02-18 13:41:55"
"95 Eddy Road, Manchester,NH","","","Manchester","42.995866","-71.471408","2015-02-18 13:41:55"
"951 20th Street, Denver,CO","","","Denver","39.750966","-104.989458","2015-02-18 13:40:55"
"9600 Westheimer Road, Houston,TX","","","Houston","29.738447","-95.535648","2015-02-18 13:41:55"
"974 Breckenridge Lane, Louisville,KY","","","St Matthews","38.232922","-85.640981","2015-02-18 13:40:55"
"Alabama","","","Alabama","32.3182314","-86.902298","2012-02-19 23:17:18"
"Americas","","","","","","2012-02-19 23:06:08"
"Anaheim","","","Anaheim","33.8352932","-117.9145036","2012-02-19 23:17:29"
"Apac","","","","","","2012-02-19 23:09:27"
"Arlington","","","Arlington","32.735687","-97.1080656","2012-02-19 23:17:30"
"Atlanta","","","Atlanta","33.7489954","-84.3879824","2012-02-19 23:17:25"
"Aurora","","","Aurora","41.7605849","-88.3200715","2012-02-19 23:17:18"
"Austin","","","Austin","31.9685988","-99.9018131","2012-02-19 23:17:17"
"Australia","","","Australia","-25.274398","133.775136","2024-04-09 01:28:06"
"Baltimore","","","Baltimore","39.2903848","-76.6121893","2012-02-19 23:17:25"
"Barnstable","","","Barnstable","41.7014167","-70.3030556","2012-02-19 23:17:33"
"Bensalem","","","Bensalem","40.0994425","-74.9325683","2012-02-19 23:17:38"
"Birmingham","","","Birmingham","33.5206608","-86.80249","2012-02-19 23:17:30"
"Bloomington","","","Bloomington","44.840798","-93.2982799","2012-02-19 23:17:37"
"Bockenheimer Landstraﬂe 123, Frankfurt","","","Frankfurt","50.1115118","8.6805059","2012-02-18 01:43:18"
"Bockenheimer Landstraﬂe 223, Frankfurt","","","Frankfurt","50.11867","8.66032","2012-02-19 23:57:21"
"Boston","","","Boston","42.3584308","-71.0597732","2012-02-19 23:17:31"
"Brasil","","","Brasil","-14.235004","-51.92528","2024-04-09 01:28:06"
"Brisbane","","","Brisbane","-27.4709331","153.0235024","2012-02-19 23:17:18"
"Broadway Circle, San Diego,CA","","","San Diego","32.71445","-117.162889","2015-02-18 13:40:55"
"Burbank","","","Burbank","34.1808392","-118.3089661","2012-02-19 23:17:35"
"Calgary","","","Calgary","51.045","-114.0572222","2012-02-19 23:17:23"
"California","","","California","36.778261","-119.4179324","2012-02-19 23:17:27"
"Canton","","","Canton","34.2367621","-84.4907621","2012-02-19 23:17:33"
"Cape Town","","","Cape Town","-33.9248685","18.4240553","2012-02-19 23:17:19"
"Carrera 54 No. 49 - 31, Medellin","","","Medellin","6.228722","-75.579229","2012-02-20 00:14:46"
"Carretera Cancun-Chetumal KM 22, Cancun","","","Cancun","21.125283","-86.832545","2012-02-20 00:17:46"
"Cartersville","","","Cartersville","34.1650972","-84.7999382","2012-02-19 23:17:35"
"Charlotte","","","Charlotte","35.2270869","-80.8431267","2012-02-19 23:17:21"
"Cheyenne","","","Cheyenne","43.0759678","-107.2902839","2012-02-19 23:17:16"
"Chicago","","","Chicago","41.8781136","-87.6297982","2012-02-20 07:34:34"
"China","","","China","35.86166","104.195397","2024-04-09 01:28:06"
"Cincinnati","","","Cincinnati","39.1031182","-84.5120196","2012-02-19 23:17:19"
"Clarksville","","","Clarksville","40.5512165","-85.6023643","2012-02-19 23:17:17"
"Coconut Grove","","","Coconut Grove","25.7126013","-80.2569947","2012-02-19 23:17:24"
"Colombia","","","Colombia","4.570868","-74.297333","2024-04-09 01:28:06"
"Colorado","","","Colorado","39.5500507","-105.7820674","2012-02-19 23:17:37"
"Colorado Springs","","","Colorado Springs","38.8338816","-104.8213634","2012-02-19 23:17:20"
"Concord","","","Concord","35.7595731","-79.0192997","2012-02-19 23:17:17"
"Conyers","","","Conyers","33.6676103","-84.0176904","2012-02-19 23:17:22"
"Crystal Lake","","","Crystal Lake","42.2411344","-88.3161965","2012-02-19 23:17:30"
"Czech Republic","","","Czech Republic","49.817492","15.472962","2024-04-09 01:28:06"
"Dallas","","","Dallas","32.802955","-96.769923","2012-02-19 23:17:31"
"Dayton","","","Dayton","40.4172871","-82.907123","2012-02-19 23:17:16"
"Delaware","","","Delaware","38.9108325","-75.5276699","2012-02-19 23:17:27"
"Doral","","","Doral","25.8195424","-80.3553302","2012-02-19 23:17:35"
"Dothan","","","Dothan","31.2232313","-85.3904888","2012-02-19 23:17:23"
"Douglasville","","","Douglasville","33.7514966","-84.7477136","2012-02-19 23:17:33"
"Downers Grove","","","Downers Grove","41.8089191","-88.0111746","2012-02-19 23:17:30"
"Dublin","","","Dublin","53.344104","-6.2674937","2012-02-19 23:17:19"
"Duluth","","","Duluth","32.1574351","-82.907123","2012-02-19 23:17:16"
"Emea","","","","","","2012-02-19 23:09:34"
"Escondido","","","Escondido","33.1192068","-117.086421","2012-02-19 23:17:34"
"Fairfax","","","Fairfax","38.8462236","-77.3063733","2012-02-19 23:17:36"
"Five Points 2009 Fairview RD, Raleigh, NC","","","Raleigh","35.80436","-78.64685","2015-02-18 14:34:06"
"Florida","","","Florida","37.09024","-95.712891","2012-02-19 23:17:15"
"Fort Collins","","","Fort Collins","40.5852602","-105.084423","2012-02-19 23:17:18"
"Fort Lauderdale","","","Fort Lauderdale","26.1223084","-80.1433786","2012-02-19 23:17:32"
"Fort Worth","","","Fort Worth","32.725409","-97.3208496","2012-02-19 23:17:35"
"France","","","France","46.227638","2.213749","2024-04-09 01:28:06"
"Frankfurt","","","Frankfurt","50.110922","8.682127","2012-02-19 23:17:15"
